home_recent_ppg,away_recent_ppg,home_shots_avg,away_shots_avg,home_shots_target_avg,away_shots_target_avg,home_corners_avg,away_corners_avg,home_fouls_avg,away_fouls_avg,home_cards_avg,away_cards_avg,odds_home,odds_draw,odds_away,odds_variance_home,odds_variance_draw,odds_variance_away,target
,,,,,,,,,,,,0.2374726974331465,0.27699395303793617,0.48553334952891736,0.0004687499999999967,0.0018000000000000034,0.0029687499999999957,0
,,,,,,,,,,,,0.6222817005651372,0.21345305259608618,0.16426524683877655,0.0002250000000000004,0.007825000000000009,0.007424999999999999,0
,,,,,,,,,,,,0.2990652355519307,0.3107171278461618,0.39021763660190756,0.004999999999999987,0.002200000000000004,0.0015187499999999958,2
,,,,,,,,,,,,0.758021797030915,0.16439026923562014,0.0775879337334649,0.00015000000000000026,0.07205000000000004,1.1033,0
,,,,,,,,,,,,0.4883812662403826,0.27322762817603063,0.23839110558358675,0.0015187499999999962,0.003300000000000006,0.004999999999999987,0
,,,,,,,,,,,,0.5660763412434276,0.2535901966073938,0.1803334621491787,0.0007500000000000014,0.011768749999999984,0.009074999999999979,0
,,,,,,,,,,,,0.30091096034126186,0.2967154550847609,0.40237358457397726,0.0029187499999999977,0.007268749999999988,0.0036500000000000156,0
,,,,,,,,,,,,0.10820818650915533,0.16732980722216279,0.7244620062686821,0.07921875000000009,0.07992500000000002,0.0006000000000000011,2
,,,,,,,,,,,,0.29847718143812896,0.27526945242782086,0.4262533661340503,0.005018749999999987,0.006268749999999998,0.002418749999999986,2
,,,,,,,,,,,,0.17576038178772563,0.23176142241779296,0.5924781957944816,0.014268749999999978,0.00942500000000001,0.0009187499999999957,0
3.0,3.0,14.0,13.0,8.0,7.0,6.0,2.0,7.0,18.0,1.0,3.0,0.5541855593561902,0.27810038978601537,0.16771405085779437,0.0006250000000000011,0.009218750000000003,0.013749999999999991,0
0.0,0.0,18.0,14.0,4.0,3.0,11.0,3.0,8.0,4.0,1.0,1.0,0.8709925229715859,0.09131036980889294,0.037697107219521214,0.0002250000000000004,0.5240749999999997,1.7699999999999998,0
0.0,3.0,10.0,14.0,3.0,6.0,4.0,6.0,9.0,13.0,2.0,2.0,0.40415155408096076,0.2809165100371704,0.3149319358818689,0.0002750000000000005,0.005518749999999998,0.0036750000000000064,1
0.0,0.0,11.0,17.0,2.0,3.0,4.0,7.0,13.0,4.0,1.0,1.0,0.5289259670245716,0.2484817895768455,0.2225922433985828,0.0001687500000000003,0.010518750000000012,0.005825000000000012,0
3.0,0.0,19.0,14.0,8.0,3.0,11.0,7.0,14.0,10.0,1.0,2.0,0.7968354420292568,0.13641321541530166,0.06675134255544142,0.00011875000000000022,0.125075,1.1810749999999997,0
0.0,3.0,4.0,8.0,1.0,3.0,2.0,2.0,11.0,12.0,0.0,0.0,0.36902286902286896,0.2988565488565489,0.3321205821205821,0.0017187500000000046,0.004074999999999988,0.002825000000000013,1
0.0,3.0,6.0,16.0,3.0,8.0,8.0,5.0,15.0,11.0,0.0,1.0,0.17939577642337615,0.22578028059895983,0.594823942977664,0.0417,0.02402500000000001,0.0006687499999999976,1
0.0,3.0,17.0,13.0,3.0,3.0,4.0,3.0,10.0,11.0,2.0,2.0,0.295415777596035,0.30483141990985285,0.3997528024941121,0.0017187499999999879,0.00671875000000001,0.006668750000000007,2
0.0,3.0,22.0,13.0,4.0,6.0,5.0,5.0,8.0,15.0,0.0,0.0,0.19942310583462253,0.25579052087963977,0.5447863732857378,0.00421875000000002,0.006918749999999998,0.0006187500000000011,2
3.0,3.0,8.0,9.0,9.0,5.0,6.0,5.0,3.0,6.0,0.0,1.0,0.3710516591256546,0.2770124985941708,0.35193584228017466,0.00201875,0.007768750000000007,0.006418749999999985,0
3.0,0.5,10.5,5.5,8.0,1.5,8.0,2.5,5.5,11.5,0.0,1.5,0.610275310704281,0.24072611499740384,0.14899857429831512,0.0002750000000000005,0.010168750000000028,0.05929999999999996,1
3.0,3.0,23.0,17.5,8.5,5.5,9.5,6.5,10.0,9.5,0.5,0.0,0.38693445380237457,0.28693035755292545,0.32613518864470004,0.0009187499999999957,0.0032687499999999974,0.006268750000000003,1
0.0,1.5,7.5,7.0,1.5,3.0,2.0,2.5,5.5,7.0,0.5,1.5,0.21518122540686044,0.2743020355437525,0.5105167390493871,0.02191874999999995,0.0026750000000000046,0.001418749999999995,2
1.5,2.0,10.5,11.0,2.0,3.0,3.5,3.5,10.5,10.5,2.0,0.5,0.48261827744811736,0.2667366892804668,0.2506450332714157,0.0009500000000000017,0.012418750000000017,0.007968750000000004,1
3.0,2.0,13.5,15.5,5.5,7.0,6.5,5.5,9.0,13.0,2.5,3.0,0.40873346492792934,0.2971165683766252,0.29414996669544535,0.0006687500000000059,0.006518749999999987,0.009824999999999995,2
1.5,0.0,17.0,14.0,4.0,3.5,8.5,7.0,10.5,9.0,1.0,1.5,0.7636623061350484,0.15693841063194583,0.07939928323300566,5.000000000000009e-05,0.03841875000000005,0.14901874999999995,0
0.0,0.5,13.0,7.0,2.0,3.0,5.5,7.5,11.0,13.5,2.5,1.0,0.3827783590816767,0.2769742106234997,0.3402474302948237,0.0012499999999999911,0.0030750000000000052,0.0029687499999999983,1
0.0,0.5,11.5,13.5,3.0,3.5,5.5,6.0,11.0,7.5,1.0,2.0,0.309467072766582,0.2773525652153329,0.41318036201808517,0.0029687499999999983,0.011075000000000019,0.0017187500000000043,1
